2877       IM AZ CHIR Chiricahua_National_Monument                                                               National_Monument                        3962885     
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
6092       IM AZ HUTR Hubbell_Trading_Post_National_Historic_Site                                                National_Historic_Site                   6197119     
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
8538       IM AZ NAVA Navajo_National_Monument                                                                   National_Monument                        3399225     
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
9526       IM AZ PISP Pipe_Spring_National_Monument                                                              National_Monument                        2456547     
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
10683      IM AZ SAGU Saguaro_National_Park                                                                      National_Park                            33169763    
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
15492      IM AZ ORPI Organ_Pipe_Cactus_National_Monument                                                        National_Monument                        17138757    
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
23864      IM AZ PEFO Petrified_Forest_National_Park                                                             National_Park                            54138794    
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
23865      IM UT GLCA Glen_Canyon_National_Recreation_Area                                                       National_Recreation_Area                 104419450   
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
23866      IM AZ GRCA Grand_Canyon_National_Park                                                                 National_Park                            205486894   
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
23944      IM UT RABR Rainbow_Bridge_National_Monument                                                           National_Monument                        7007990     
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
31964      IM AZ MOCA Montezuma_Castle_National_Monument                                                         National_Monument                        32513332    
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
34968      IM AZ SUCR Sunset_Crater_Volcano_National_Monument                                                    National_Monument                        15738283    
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
35382      IM AZ TONT Tonto_National_Monument                                                                    National_Monument                        3955070     
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
35519      IM AZ TUMA Tumacacori_National_Historical_Park                                                        National_Historical_Park                 4054113     
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
35601      IM AZ TUZI Tuzigoot_National_Monument                                                                 National_Monument                        5706971     
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
35848      IM AZ WACA Walnut_Canyon_National_Monument                                                            National_Monument                        6605855     
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
38197      IM AZ WUPA Wupatki_National_Monument                                                                  National_Monument                        11163242    
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
40512      IM AZ CORO Coronado_National_Memorial                                                                 National_Memorial                        3996485     
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
44811      IM AZ CAGR Casa_Grande_Ruins_National_Monument                                                        National_Monument                        7810317     
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
44981      IM AZ CACH Canyon_de_Chelly_National_Monument                                                         National_Monument                        31616091    
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
53246      MW AR PERI Pea_Ridge_National_Military_Park                                                           National_Military_Park                   5516360     
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
56686      MW AR FOSM Fort_Smith_National_Historic_Site                                                          National_Historic_Site                   4642858     
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
56796      MW AR HOSP Hot_Springs_National_Park                                                                  National_Park                            92028933    
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
74272      MW AR BUFF Buffalo_National_River                                                                     National_River                           38574595    
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
123648     SE MS NATR Natchez_Trace_Parkway                                                                      Parkway                                  443145232   
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
126026     SE AL RUCA Russell_Cave_National_Monument                                                             National_Monument                        1322056     
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
149966     SE AL HOBE Horseshoe_Bend_National_Military_Park                                                      National_Military_Park                   4656085     
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
158362     SE AL TUIN Tuskegee_Institute_National_Historic_Site                                                  National_Historic_Site                   5487784     
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
169567     IM CO DINO Dinosaur_National_Monument                                                                 National_Monument                        20604107    
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
179042     IM CO MEVE Mesa_Verde_National_Park                                                                   National_Park                            32863857    
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
191398     IM CO FLFO Florissant_Fossil_Beds_National_Monument                                                   National_Monument                        3227198     
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
196412     IM CO CURE Curecanti_National_Recreation_Area                                                         National_Recreation_Area                 44868302    
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
202252     IM CO COLM Colorado_National_Monument                                                                 National_Monument                        23230064    
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
202599     IM UT HOVE Hovenweep_National_Monument                                                                National_Monument                        1178947     
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
203271     IM CO BLCA Black_Canyon_of_the_Gunnison_National_Park                                                 National_Park                            13686363    
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
204948     IM CO ROMO Rocky_Mountain_National_Park                                                               National_Park                            180076609   
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
226274     PW CA JOMU John_Muir_National_Historic_Site                                                           National_Historic_Site                   1445658     
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
229295     PW CA MUWO Muir_Woods_National_Monument                                                               National_Monument                        64822563    
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
234493     PW CA PORE Point_Reyes_National_Seashore                                                              National_Seashore                        97582250    
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
247533     PW CA PINN Pinnacles_National_Park                                                                    National_Park                            10492968    
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
255923     PW CA YOSE Yosemite_National_Park                                                                     National_Park                            190404561   
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
255948     PW CA KICA Kings_Canyon_National_Park                                                                 National_Park                            52978184    
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
